WiFi Sensor,Time,Temperature (∞C)
8680,11/02/2016 14:24:11,27.1
8681,11/02/2016 14:24:21,27.1
8682,11/02/2016 14:24:31,27.1
8683,11/02/2016 14:24:41,27.2
8684,11/02/2016 14:24:51,27.2
8685,11/02/2016 14:25:01,27.2
8686,11/02/2016 14:25:11,26
8687,11/02/2016 14:25:21,25.6
8688,11/02/2016 14:25:31,25.2
8689,11/02/2016 14:25:41,33.8
8690,11/02/2016 14:25:51,38.7
8691,11/02/2016 14:26:01,42.1
8692,11/02/2016 14:26:11,29.7
8693,11/02/2016 14:26:21,26.9
8694,11/02/2016 14:26:31,26.5
8695,11/02/2016 14:26:41,26.4
8696,11/02/2016 14:26:51,47.7
8697,11/02/2016 14:27:01,47.4
8698,11/02/2016 14:27:11,48.7
8699,11/02/2016 14:27:21,49.2
8700,11/02/2016 14:27:31,29.7
8701,11/02/2016 14:27:41,28.7
8702,11/02/2016 14:27:51,28.4
8703,11/02/2016 14:28:01,28.2
8704,11/02/2016 14:28:11,28
8705,11/02/2016 14:28:21,28
8706,11/02/2016 14:28:31,28
8707,11/02/2016 14:28:41,27.9
8708,11/02/2016 14:28:51,27.9
8709,11/02/2016 14:29:01,27.9
8710,11/02/2016 14:29:11,27.9
8711,11/02/2016 14:29:21,27.9
8712,11/02/2016 14:29:31,27.8
8713,11/02/2016 14:29:41,27.8
8714,11/02/2016 14:29:51,27.9
8715,11/02/2016 14:30:01,27.8
8716,11/02/2016 14:30:11,27.9
8717,11/02/2016 14:30:21,27.9
8718,11/02/2016 14:30:31,27.9
8719,11/02/2016 14:30:41,27.9
8720,11/02/2016 14:30:51,27.9
8721,11/02/2016 14:31:01,27.9
8722,11/02/2016 14:31:11,27.9
8723,11/02/2016 14:31:21,27.9
8724,11/02/2016 14:31:31,27.9
8725,11/02/2016 14:31:41,27.9
8726,11/02/2016 14:31:51,27.9
8727,11/02/2016 14:32:01,27.9
8728,11/02/2016 14:32:11,27.9
8729,11/02/2016 14:32:21,27.8
8730,11/02/2016 14:32:31,27.8
8731,11/02/2016 14:32:41,27.8
8732,11/02/2016 14:32:51,27.9
8733,11/02/2016 14:33:01,27.9
8734,11/02/2016 14:33:11,27.9
8735,11/02/2016 14:33:21,27.9
8736,11/02/2016 14:33:31,27.9
8737,11/02/2016 14:33:41,27.9
8738,11/02/2016 14:33:51,27.9
8739,11/02/2016 14:34:01,27.9
8740,11/02/2016 14:34:11,27.9
8741,11/02/2016 14:34:21,28
8742,11/02/2016 14:34:31,28
8743,11/02/2016 14:34:41,28
8744,11/02/2016 14:34:51,28
8745,11/02/2016 14:35:01,28
8746,11/02/2016 14:35:11,28
8747,11/02/2016 14:35:21,28
8748,11/02/2016 14:35:31,28
8749,11/02/2016 14:35:41,28
8750,11/02/2016 14:35:51,28
8751,11/02/2016 14:36:01,28
8752,11/02/2016 14:36:11,28
8753,11/02/2016 14:36:21,28
8754,11/02/2016 14:36:31,68.4
8755,11/02/2016 14:36:41,71.8
8756,11/02/2016 14:36:51,73.2
8757,11/02/2016 14:37:01,65.4
8758,11/02/2016 14:37:11,43.1
8759,11/02/2016 14:37:21,30
8760,11/02/2016 14:37:31,28
8761,11/02/2016 14:37:41,27.9
8762,11/02/2016 14:37:51,27.8
8763,11/02/2016 14:38:01,27.9
8764,11/02/2016 14:38:11,27.7
8765,11/02/2016 14:38:21,27.6
8766,11/02/2016 14:38:31,78.7
8767,11/02/2016 14:38:41,82.8
8768,11/02/2016 14:38:51,77.1
8769,11/02/2016 14:39:01,41.6
8770,11/02/2016 14:39:11,25.3
8771,11/02/2016 14:39:21,66.5
8772,11/02/2016 14:39:31,26
8773,11/02/2016 14:39:41,72.5
8774,11/02/2016 14:39:51,54.8
8775,11/02/2016 14:40:01,26.4
8776,11/02/2016 14:40:11,20.9
8777,11/02/2016 14:40:21,20
8778,11/02/2016 14:40:31,19.9
8779,11/02/2016 14:40:41,20.1
8780,11/02/2016 14:40:51,21.1
8781,11/02/2016 14:41:01,21.7
8782,11/02/2016 14:41:11,22.5
8783,11/02/2016 14:41:21,23.1
8784,11/02/2016 14:41:31,23.9
8785,11/02/2016 14:41:41,24.5
8786,11/02/2016 14:41:51,24.7
8787,11/02/2016 14:42:01,24.7
8788,11/02/2016 14:42:11,24.9
8789,11/02/2016 14:42:21,25
8790,11/02/2016 14:42:31,25.1
8791,11/02/2016 14:42:41,25.1
8792,11/02/2016 14:42:51,25.3
8793,11/02/2016 14:43:01,25.4
8794,11/02/2016 14:43:11,25.4
8795,11/02/2016 14:43:21,25.5
8796,11/02/2016 14:43:31,25.6
8797,11/02/2016 14:43:41,25.6
8798,11/02/2016 14:43:51,25.4
8799,11/02/2016 14:44:01,25.3
8800,11/02/2016 14:44:11,25.3
8801,11/02/2016 14:44:21,25.4
8802,11/02/2016 14:44:31,25.4
8803,11/02/2016 14:44:41,25.3
8804,11/02/2016 14:44:51,25.4
8805,11/02/2016 14:45:01,25.5
8806,11/02/2016 14:45:11,25.6
8807,11/02/2016 14:45:21,25.3
8808,11/02/2016 14:45:31,25.6
8809,11/02/2016 14:45:41,25.6
8810,11/02/2016 14:45:51,25.5
8811,11/02/2016 14:46:01,25.5
8812,11/02/2016 14:46:11,25.5
8813,11/02/2016 14:46:21,25.5
8814,11/02/2016 14:46:31,25.5
8815,11/02/2016 14:46:41,25.5
8816,11/02/2016 14:46:51,25.5
8817,11/02/2016 14:47:01,25.4
8818,11/02/2016 14:47:11,25.4
8819,11/02/2016 14:47:21,25.4
8820,11/02/2016 14:47:31,25.5
8821,11/02/2016 14:47:41,25.5
8822,11/02/2016 14:47:51,25.7
8823,11/02/2016 14:48:01,25.5
8824,11/02/2016 14:48:11,25.6
8825,11/02/2016 14:48:21,25.6
8826,11/02/2016 14:48:31,25.3
8827,11/02/2016 14:48:41,25.4
8828,11/02/2016 14:48:51,25.6
8829,11/02/2016 14:49:01,25.8
8830,11/02/2016 14:49:11,26
8831,11/02/2016 14:49:21,25.8
8832,11/02/2016 14:49:31,25.8
8833,11/02/2016 14:49:41,25.8
8834,11/02/2016 14:49:51,25.7
8835,11/02/2016 14:50:01,25.8
8836,11/02/2016 14:50:11,25.7
8837,11/02/2016 14:50:21,25.4
8838,11/02/2016 14:50:31,25.4
8839,11/02/2016 14:50:41,25.6
8840,11/02/2016 14:50:51,25.5
8841,11/02/2016 14:51:01,25.4
8842,11/02/2016 14:51:11,25.3
8843,11/02/2016 14:51:21,25.2
8844,11/02/2016 14:51:31,25.4
8845,11/02/2016 14:51:41,25.1
8846,11/02/2016 14:51:51,25.2
8847,11/02/2016 14:52:01,25.4
8848,11/02/2016 14:52:11,25.4
8849,11/02/2016 14:52:21,25.5
8850,11/02/2016 14:52:31,25.6
8851,11/02/2016 14:52:41,25.4
8852,11/02/2016 14:52:51,25.5
8853,11/02/2016 14:53:01,25.4
8854,11/02/2016 14:53:11,25.2
8855,11/02/2016 14:53:21,25.2
8856,11/02/2016 14:53:31,25.1
8857,11/02/2016 14:53:41,25
8858,11/02/2016 14:53:51,25.1
8859,11/02/2016 14:54:01,25.1
8860,11/02/2016 14:54:11,25.2
8861,11/02/2016 14:54:21,25.1
8862,11/02/2016 14:54:31,25.1
8863,11/02/2016 14:54:41,25.3
8864,11/02/2016 14:54:51,25.1
8865,11/02/2016 14:55:01,25
8866,11/02/2016 14:55:11,25.1
8867,11/02/2016 14:55:21,25.2
8868,11/02/2016 14:55:31,25.4
8869,11/02/2016 14:55:41,25.4
8870,11/02/2016 14:55:51,25.5
8871,11/02/2016 14:56:01,25.6
8872,11/02/2016 14:56:11,25.6
8873,11/02/2016 14:56:21,25.7
8874,11/02/2016 14:56:31,25.5
8875,11/02/2016 14:56:41,25.5
8876,11/02/2016 14:56:51,25.6
8877,11/02/2016 14:57:01,25.7
8878,11/02/2016 14:57:11,25.5
8879,11/02/2016 14:57:21,25.5
8880,11/02/2016 14:57:31,25.5
8881,11/02/2016 14:57:41,25.4
8882,11/02/2016 14:57:51,25.3
8883,11/02/2016 14:58:01,25.3
8884,11/02/2016 14:58:11,25.2
8885,11/02/2016 14:58:21,25.3
8886,11/02/2016 14:58:31,25.3
8887,11/02/2016 14:58:41,25.2
8888,11/02/2016 14:58:51,25
8889,11/02/2016 14:59:01,25.2
8890,11/02/2016 14:59:11,25.2
8891,11/02/2016 14:59:21,25.2
8892,11/02/2016 14:59:31,25
8893,11/02/2016 14:59:41,25
8894,11/02/2016 14:59:51,25.1
8895,11/02/2016 15:00:01,25.2
8896,11/02/2016 15:00:11,25.3
8897,11/02/2016 15:00:21,25.2
8898,11/02/2016 15:00:31,25.2
8899,11/02/2016 15:00:41,25.1
8900,11/02/2016 15:00:51,25.3
8901,11/02/2016 15:01:01,25.3
8902,11/02/2016 15:01:11,25.2
8903,11/02/2016 15:01:21,25.1
8904,11/02/2016 15:01:31,25.2
8905,11/02/2016 15:01:41,25.3
8906,11/02/2016 15:01:51,25.3
8907,11/02/2016 15:02:01,25.3
8908,11/02/2016 15:02:11,25.3
8909,11/02/2016 15:02:21,25.3
8910,11/02/2016 15:02:31,25.3
8911,11/02/2016 15:02:41,25.3
8912,11/02/2016 15:02:51,25.3
8913,11/02/2016 15:03:01,25.4
8914,11/02/2016 15:03:11,25.4
8915,11/02/2016 15:03:21,25.5
8916,11/02/2016 15:03:31,25.4
8917,11/02/2016 15:03:41,25.2
8918,11/02/2016 15:03:51,25
8919,11/02/2016 15:04:01,25
8920,11/02/2016 15:04:11,25.1
8921,11/02/2016 15:04:21,25.1
8922,11/02/2016 15:04:31,24.8
8923,11/02/2016 15:04:41,25
8924,11/02/2016 15:04:51,24.8
8925,11/02/2016 15:05:01,24.8
8926,11/02/2016 15:05:11,24.9
8927,11/02/2016 15:05:21,25
8928,11/02/2016 15:05:31,25
8929,11/02/2016 15:05:41,24.8
8930,11/02/2016 15:05:51,24.7
8931,11/02/2016 15:06:01,24.8
8932,11/02/2016 15:06:11,24.8
8933,11/02/2016 15:06:21,24.8
8934,11/02/2016 15:06:31,25
8935,11/02/2016 15:06:41,25
8936,11/02/2016 15:06:51,24.9
8937,11/02/2016 15:07:01,24.8
8938,11/02/2016 15:07:11,24.7
8939,11/02/2016 15:07:21,24.7
8940,11/02/2016 15:07:31,24.7
8941,11/02/2016 15:07:41,24.8
8942,11/02/2016 15:07:51,24.7
8943,11/02/2016 15:08:01,24.8
8944,11/02/2016 15:08:11,24.5
8945,11/02/2016 15:08:21,24.5
8946,11/02/2016 15:08:31,24.6
8947,11/02/2016 15:08:41,24.7
8948,11/02/2016 15:08:51,24.6
8949,11/02/2016 15:09:01,24.6
8950,11/02/2016 15:09:11,24.7
8951,11/02/2016 15:09:21,24.8
8952,11/02/2016 15:09:31,24.7
8953,11/02/2016 15:09:41,24.8
8954,11/02/2016 15:09:51,24.8
8955,11/02/2016 15:10:01,24.6
8956,11/02/2016 15:10:11,24.7
8957,11/02/2016 15:10:21,24.7
8958,11/02/2016 15:10:31,24.7
8959,11/02/2016 15:10:41,24.8
8960,11/02/2016 15:10:51,24.9
8961,11/02/2016 15:11:01,25
8962,11/02/2016 15:11:11,25
8963,11/02/2016 15:11:21,25
8964,11/02/2016 15:11:31,24.8
8965,11/02/2016 15:11:41,24.8
8966,11/02/2016 15:11:51,24.8
8967,11/02/2016 15:12:01,24.6
8968,11/02/2016 15:12:11,24.6
8969,11/02/2016 15:12:21,24.6
8970,11/02/2016 15:12:31,24.5
8971,11/02/2016 15:12:41,24.7
8972,11/02/2016 15:12:51,24.8
8973,11/02/2016 15:13:01,24.8
8974,11/02/2016 15:13:11,24.7
8975,11/02/2016 15:13:21,24.8
8976,11/02/2016 15:13:31,24.9
8977,11/02/2016 15:13:41,24.9
8978,11/02/2016 15:13:51,25
8979,11/02/2016 15:14:01,24.9
8980,11/02/2016 15:14:11,24.9
8981,11/02/2016 15:14:21,24.9
8982,11/02/2016 15:14:31,24.8
8983,11/02/2016 15:14:41,24.8
8984,11/02/2016 15:14:51,24.7
8985,11/02/2016 15:15:01,24.7
8986,11/02/2016 15:15:11,24.5
8987,11/02/2016 15:15:21,24.4
8988,11/02/2016 15:15:31,24.3
8989,11/02/2016 15:15:41,24.3
8990,11/02/2016 15:15:51,24.4
8991,11/02/2016 15:16:01,24.4
8992,11/02/2016 15:16:11,24.5
8993,11/02/2016 15:16:21,24.6
8994,11/02/2016 15:16:31,24.4
8995,11/02/2016 15:16:41,24.3
8996,11/02/2016 15:16:51,24.4
8997,11/02/2016 15:17:01,24.6
8998,11/02/2016 15:17:11,24.7
8999,11/02/2016 15:17:21,24.7
9000,11/02/2016 15:17:31,24.7
9001,11/02/2016 15:17:41,24.7
9002,11/02/2016 15:17:51,24.7
9003,11/02/2016 15:18:01,24.7
9004,11/02/2016 15:18:11,24.5
9005,11/02/2016 15:18:21,24.5
9006,11/02/2016 15:18:31,24.6
9007,11/02/2016 15:18:41,24.5
9008,11/02/2016 15:18:51,24.6
9009,11/02/2016 15:19:01,24.6
9010,11/02/2016 15:19:11,24.6
9011,11/02/2016 15:19:21,24.7
9012,11/02/2016 15:19:31,24.6
9013,11/02/2016 15:19:41,24.5
9014,11/02/2016 15:19:51,24.4
9015,11/02/2016 15:20:01,24.4
9016,11/02/2016 15:20:11,24.4
9017,11/02/2016 15:20:21,24.3
9018,11/02/2016 15:20:31,24.2
9019,11/02/2016 15:20:41,24.3
9020,11/02/2016 15:20:51,24.4
9021,11/02/2016 15:21:01,24.4
9022,11/02/2016 15:21:11,24.5
9023,11/02/2016 15:21:21,24.5
9024,11/02/2016 15:21:31,24.6
9025,11/02/2016 15:21:41,24.5
9026,11/02/2016 15:21:51,24.3
9027,11/02/2016 15:22:01,24.3
9028,11/02/2016 15:22:11,24.2
9029,11/02/2016 15:22:21,24.3
9030,11/02/2016 15:22:31,24.1
9031,11/02/2016 15:22:41,24.1
9032,11/02/2016 15:22:51,24.2
9033,11/02/2016 15:23:01,24.2
9034,11/02/2016 15:23:11,24.3
9035,11/02/2016 15:23:21,24.2
9036,11/02/2016 15:23:31,24.1
9037,11/02/2016 15:23:41,24.1
9038,11/02/2016 15:23:51,24.1
9039,11/02/2016 15:24:01,24
9040,11/02/2016 15:24:11,24.1
9041,11/02/2016 15:24:21,24.1
9042,11/02/2016 15:24:31,24.3
9043,11/02/2016 15:24:41,24.4
9044,11/02/2016 15:24:51,24.3
9045,11/02/2016 15:25:01,24.2
9046,11/02/2016 15:25:11,24.2
9047,11/02/2016 15:25:21,24.2
9048,11/02/2016 15:25:31,24.3
9049,11/02/2016 15:25:41,24.3
9050,11/02/2016 15:25:51,24.2
9051,11/02/2016 15:26:01,24.2
9052,11/02/2016 15:26:11,23.9
9053,11/02/2016 15:26:21,23.9
9054,11/02/2016 15:26:31,23.9
9055,11/02/2016 15:26:41,24
9056,11/02/2016 15:26:51,23.9
9057,11/02/2016 15:27:01,23.9
9058,11/02/2016 15:27:11,23.6
9059,11/02/2016 15:27:21,67.3
9060,11/02/2016 15:27:31,70.5
9061,11/02/2016 15:27:41,52
9062,11/02/2016 15:27:51,41.7
9063,11/02/2016 15:28:01,37.7
9064,11/02/2016 15:28:11,33.2
9065,11/02/2016 15:28:21,31.4
9066,11/02/2016 15:28:31,29.4
9067,11/02/2016 15:28:41,28.2
9068,11/02/2016 15:28:51,27.1
9069,11/02/2016 15:29:01,26.5
9070,11/02/2016 15:29:11,25.8
9071,11/02/2016 15:29:21,25.5
9072,11/02/2016 15:29:31,25
9073,11/02/2016 15:29:41,25
9074,11/02/2016 15:29:51,24.7
9075,11/02/2016 15:30:01,78.1
9076,11/02/2016 15:30:11,82.1
9077,11/02/2016 15:30:21,54.4
9078,11/02/2016 15:30:31,34.6
9079,11/02/2016 15:30:41,32.3
9080,11/02/2016 15:30:51,30.2
9081,11/02/2016 15:31:01,29.3
9082,11/02/2016 15:31:11,28.2
9083,11/02/2016 15:31:21,27.5
9084,11/02/2016 15:31:31,26.8
9085,11/02/2016 15:31:41,26.6
9086,11/02/2016 15:31:51,26.1
9087,11/02/2016 15:32:01,25.6
9088,11/02/2016 15:32:11,25.4
9089,11/02/2016 15:32:21,25.4
9090,11/02/2016 15:32:31,25.5
9091,11/02/2016 15:32:41,25.4
9092,11/02/2016 15:32:51,25.3
9093,11/02/2016 15:33:01,25.2
9094,11/02/2016 15:33:11,25.3
9095,11/02/2016 15:33:21,25.3
9096,11/02/2016 15:33:31,25
9097,11/02/2016 15:33:41,24.7
9098,11/02/2016 15:33:51,24.5
9099,11/02/2016 15:34:01,24.7
9100,11/02/2016 15:34:11,24.9
9101,11/02/2016 15:34:21,25.1
9102,11/02/2016 15:34:31,24.9
9103,11/02/2016 15:34:41,24.8
9104,11/02/2016 15:34:51,24.8
9105,11/02/2016 15:35:01,24.7
9106,11/02/2016 15:35:11,24.7
9107,11/02/2016 15:35:21,24.9
9108,11/02/2016 15:35:31,24.6
9109,11/02/2016 15:35:41,24.7
9110,11/02/2016 15:35:51,24.8
9111,11/02/2016 15:36:01,24.8
9112,11/02/2016 15:36:11,24.3
9113,11/02/2016 15:36:21,24.3
9114,11/02/2016 15:36:31,24.4
9115,11/02/2016 15:36:41,24.5
9116,11/02/2016 15:36:51,55.4
9117,11/02/2016 15:37:01,56
9118,11/02/2016 15:37:11,36.5
9119,11/02/2016 15:37:21,32.1
9120,11/02/2016 15:37:31,28.7
9121,11/02/2016 15:37:41,27.4
9122,11/02/2016 15:37:51,25.9
9123,11/02/2016 15:38:01,25.6
9124,11/02/2016 15:38:11,25.3
9125,11/02/2016 15:38:21,25
9126,11/02/2016 15:38:31,25.7
9127,11/02/2016 15:38:41,26.6
9128,11/02/2016 15:38:51,26.4
9129,11/02/2016 15:39:01,26.4
9130,11/02/2016 15:39:11,26.6
9131,11/02/2016 15:39:21,26.6
9132,11/02/2016 15:39:31,26.8
9133,11/02/2016 15:39:41,26.8
9134,11/02/2016 15:39:51,27.1
9135,11/02/2016 15:40:01,27.1
9136,11/02/2016 15:40:11,27.2
9137,11/02/2016 15:40:21,27.4
9138,11/02/2016 15:40:31,27.7
9139,11/02/2016 15:40:41,27.7
9140,11/02/2016 15:40:51,27.7
9141,11/02/2016 15:41:01,27.7
9142,11/02/2016 15:41:11,27.3
9143,11/02/2016 15:41:21,27.3
9144,11/02/2016 15:41:31,27.1
9145,11/02/2016 15:41:41,26.6
9146,11/02/2016 15:41:51,26.1
9147,11/02/2016 15:42:01,26
9148,11/02/2016 15:42:11,25.9
9149,11/02/2016 15:42:21,25.9
9150,11/02/2016 15:42:31,25.8
9151,11/02/2016 15:42:41,25.9
9152,11/02/2016 15:42:51,25.9
9153,11/02/2016 15:43:01,25.9
9154,11/02/2016 15:43:11,25.8
9155,11/02/2016 15:43:21,25.8
9156,11/02/2016 15:43:31,25.7
9157,11/02/2016 15:43:41,25.8
9158,11/02/2016 15:43:51,25.9
9159,11/02/2016 15:44:01,25.8
9160,11/02/2016 15:44:11,25.7
9161,11/02/2016 15:44:21,25.7
9162,11/02/2016 15:44:31,25.7
9163,11/02/2016 15:44:41,25.7
9164,11/02/2016 15:44:51,25.7
9165,11/02/2016 15:45:01,25.8
9166,11/02/2016 15:45:11,25.7
9167,11/02/2016 15:45:21,25.8
9168,11/02/2016 15:45:31,25.7
9169,11/02/2016 15:45:41,25.8
9170,11/02/2016 15:45:51,25.8
9171,11/02/2016 15:46:01,25.8
9172,11/02/2016 15:46:11,25.9
9173,11/02/2016 15:46:21,25.9
9174,11/02/2016 15:46:31,25.8
9175,11/02/2016 15:46:41,25.9
9176,11/02/2016 15:46:51,25.8
9177,11/02/2016 15:47:01,25.8
9178,11/02/2016 15:47:11,25.8
9179,11/02/2016 15:47:21,25.8
9180,11/02/2016 15:47:31,25.9
9181,11/02/2016 15:47:41,25.9
9182,11/02/2016 15:47:51,25.9
9183,11/02/2016 15:48:01,25.9
9184,11/02/2016 15:48:11,25.9
9185,11/02/2016 15:48:21,25.9
9186,11/02/2016 15:48:31,25.9
9187,11/02/2016 15:48:41,25.8
9188,11/02/2016 15:48:51,25.9
9189,11/02/2016 15:49:01,25.9
9190,11/02/2016 15:49:11,25.9
9191,11/02/2016 15:49:21,25.8
9192,11/02/2016 15:49:31,36
9193,11/02/2016 15:49:41,33.1
9194,11/02/2016 15:49:51,30
9195,11/02/2016 15:50:01,28.3
9196,11/02/2016 15:50:11,27.3
9197,11/02/2016 15:50:21,26.9
9198,11/02/2016 15:50:31,26.3
9199,11/02/2016 15:50:41,26.2
9200,11/02/2016 15:50:51,26.2
9201,11/02/2016 15:51:01,26.1
9202,11/02/2016 15:51:11,25.9
9203,11/02/2016 15:51:21,26.1
9204,11/02/2016 15:51:31,26.1
9205,11/02/2016 15:51:41,26.1
9206,11/02/2016 15:51:51,26.2
9207,11/02/2016 15:52:01,26.1
9208,11/02/2016 15:52:11,26.1
9209,11/02/2016 15:52:21,26.1
9210,11/02/2016 15:52:31,25.3
9211,11/02/2016 15:52:41,25
9212,11/02/2016 15:52:51,25.1
9213,11/02/2016 15:53:01,25.1
9214,11/02/2016 15:53:11,25.2
9215,11/02/2016 15:53:21,25.3
9216,11/02/2016 15:53:31,25.3
9217,11/02/2016 15:53:41,25.3
9218,11/02/2016 15:53:51,25.3
9219,11/02/2016 15:54:01,25.2
9220,11/02/2016 15:54:11,25.6
9221,11/02/2016 15:54:21,26.2
9222,11/02/2016 15:54:31,26.4
9223,11/02/2016 15:54:41,26.3
9224,11/02/2016 15:54:51,25.9
9225,11/02/2016 15:55:01,25.9
9226,11/02/2016 15:55:11,25.6
9227,11/02/2016 15:55:21,26
9228,11/02/2016 15:55:31,26
9229,11/02/2016 15:55:41,25.9
9230,11/02/2016 15:55:51,25.6
9231,11/02/2016 15:56:01,25.4
9232,11/02/2016 15:56:11,25
9233,11/02/2016 15:56:21,24.7
9234,11/02/2016 15:56:31,24.6
9235,11/02/2016 15:56:41,24.5
9236,11/02/2016 15:56:51,24.8
9237,11/02/2016 15:57:01,24.6
9238,11/02/2016 15:57:11,24.8
9239,11/02/2016 15:57:21,24.8
9240,11/02/2016 15:57:31,25.1
9241,11/02/2016 15:57:41,24.9
9242,11/02/2016 15:57:51,24.9
9243,11/02/2016 15:58:01,25.1
9244,11/02/2016 15:58:11,25.4
9245,11/02/2016 15:58:21,25.3
9246,11/02/2016 15:58:31,25.2
9247,11/02/2016 15:58:41,24.8
9248,11/02/2016 15:58:51,25.2
9249,11/02/2016 15:59:01,25.3
9250,11/02/2016 15:59:11,25.6
9251,11/02/2016 15:59:21,25.6
9252,11/02/2016 15:59:31,25.7
9253,11/02/2016 15:59:41,25.8
9254,11/02/2016 15:59:51,25.8
9255,11/02/2016 16:00:01,25.8
9256,11/02/2016 16:00:11,25.8
9257,11/02/2016 16:00:21,25.8
9258,11/02/2016 16:00:31,25.9
9259,11/02/2016 16:00:41,25.9
9260,11/02/2016 16:00:51,25.9
9261,11/02/2016 16:01:01,25.9
9262,11/02/2016 16:01:11,25.9
9263,11/02/2016 16:01:21,25.9
9264,11/02/2016 16:01:31,25.9
9265,11/02/2016 16:01:41,25.9
9266,11/02/2016 16:01:51,25.9
9267,11/02/2016 16:02:01,25.9
9268,11/02/2016 16:02:11,25.9
9269,11/02/2016 16:02:21,25.5
9270,11/02/2016 16:02:31,25.2
9271,11/02/2016 16:02:41,25.1
9272,11/02/2016 16:02:51,25
9273,11/02/2016 16:03:01,24.9
9274,11/02/2016 16:03:11,24.8
9275,11/02/2016 16:03:21,24.8
9276,11/02/2016 16:03:31,24.4
9277,11/02/2016 16:03:41,64.9
9278,11/02/2016 16:03:51,68.8
9279,11/02/2016 16:04:01,44.7
9280,11/02/2016 16:04:11,30
9281,11/02/2016 16:04:21,27.2
9282,11/02/2016 16:04:31,25.5
9283,11/02/2016 16:04:41,25.1
9284,11/02/2016 16:04:51,24.9
9285,11/02/2016 16:05:01,24.9
9286,11/02/2016 16:05:11,24.9
9287,11/02/2016 16:05:21,24.8
9288,11/02/2016 16:05:31,24.9
9289,11/02/2016 16:05:41,24.8
9290,11/02/2016 16:05:51,72.9
9291,11/02/2016 16:06:01,92.7
9292,11/02/2016 16:06:11,88.3
9293,11/02/2016 16:06:21,49.7
9294,11/02/2016 16:06:31,31.9
9295,11/02/2016 16:06:41,29.3
9296,11/02/2016 16:06:51,27.7
9297,11/02/2016 16:07:01,27.1
9298,11/02/2016 16:07:11,26.6
9299,11/02/2016 16:07:21,26.5
