WiFi Sensor,Time,Temperature (∞C)
84,10/02/2016 14:31:33,75.6
85,10/02/2016 14:31:43,76.2
86,10/02/2016 14:31:53,76.9
87,10/02/2016 14:32:03,37.1
88,10/02/2016 14:32:13,27.6
89,10/02/2016 14:32:23,26.1
90,10/02/2016 14:32:33,25.3
91,10/02/2016 14:32:43,24.9
92,10/02/2016 14:32:53,24.5
93,10/02/2016 14:33:03,24.3
94,10/02/2016 14:33:13,23.9
95,10/02/2016 14:33:23,23.6
96,10/02/2016 14:33:33,23
97,10/02/2016 14:33:43,22.8
98,10/02/2016 14:33:53,22.4
99,10/02/2016 14:34:03,22.1
100,10/02/2016 14:34:13,22.1
101,10/02/2016 14:34:23,22.1
102,10/02/2016 14:34:33,22.1
103,10/02/2016 14:34:43,22.2
104,10/02/2016 14:34:53,22.2
105,10/02/2016 14:35:03,22.1
106,10/02/2016 14:35:13,22.1
107,10/02/2016 14:35:23,22
108,10/02/2016 14:35:33,21.8
109,10/02/2016 14:35:43,21.7
110,10/02/2016 14:35:53,21.9
111,10/02/2016 14:36:03,21.7
112,10/02/2016 14:36:13,21.7
113,10/02/2016 14:36:23,21.8
114,10/02/2016 14:36:33,21.8
115,10/02/2016 14:36:43,21.4
116,10/02/2016 14:36:53,21.5
117,10/02/2016 14:37:03,21.4
118,10/02/2016 14:37:13,21.3
119,10/02/2016 14:37:23,21.4
120,10/02/2016 14:37:33,21.3
121,10/02/2016 14:37:43,21.4
122,10/02/2016 14:37:53,21.3
123,10/02/2016 14:38:03,21.4
124,10/02/2016 14:38:13,21.5
125,10/02/2016 14:38:23,21.4
126,10/02/2016 14:38:33,21.3
127,10/02/2016 14:38:43,21.3
128,10/02/2016 14:38:53,21.3
129,10/02/2016 14:39:03,21.4
130,10/02/2016 14:39:13,21
131,10/02/2016 14:39:23,21.2
132,10/02/2016 14:39:33,21.6
133,10/02/2016 14:39:43,21.7
134,10/02/2016 14:39:53,21.4
135,10/02/2016 14:40:03,21.2
136,10/02/2016 14:40:13,21.1
137,10/02/2016 14:40:23,21.1
138,10/02/2016 14:40:33,21.2
139,10/02/2016 14:40:43,21.3
140,10/02/2016 14:40:53,21.2
141,10/02/2016 14:41:03,21.2
142,10/02/2016 14:41:13,21.2
143,10/02/2016 14:41:23,21.4
144,10/02/2016 14:41:33,21.5
145,10/02/2016 14:41:43,21.6
146,10/02/2016 14:41:53,21.4
147,10/02/2016 14:42:03,21.3
148,10/02/2016 14:42:13,21.2
149,10/02/2016 14:42:23,21.1
150,10/02/2016 14:42:33,21.1
151,10/02/2016 14:42:43,21.1
152,10/02/2016 14:42:53,21.2
153,10/02/2016 14:43:03,21.2
154,10/02/2016 14:43:13,21.3
155,10/02/2016 14:43:23,21.3
156,10/02/2016 14:43:33,76.7
157,10/02/2016 14:43:43,77.2
158,10/02/2016 14:43:53,81.6
159,10/02/2016 14:44:03,71.2
160,10/02/2016 14:44:13,41.2
161,10/02/2016 14:44:23,33.3
162,10/02/2016 14:44:33,27.2
163,10/02/2016 14:44:43,25.6
164,10/02/2016 14:44:53,24.4
165,10/02/2016 14:45:03,24
166,10/02/2016 14:45:13,23.7
167,10/02/2016 14:45:23,23.6
168,10/02/2016 14:45:33,23.6
169,10/02/2016 14:45:43,23.5
170,10/02/2016 14:45:53,23.5
171,10/02/2016 14:46:03,23.6
172,10/02/2016 14:46:13,23.7
173,10/02/2016 14:46:23,23.7
174,10/02/2016 14:46:33,23.7
175,10/02/2016 14:46:43,23.7
176,10/02/2016 14:46:53,23.8
177,10/02/2016 14:47:03,23.8
178,10/02/2016 14:47:13,23.8
179,10/02/2016 14:47:23,23.9
180,10/02/2016 14:47:33,23.8
181,10/02/2016 14:47:43,23.9
182,10/02/2016 14:47:53,24
183,10/02/2016 14:48:03,24
184,10/02/2016 14:48:13,24
185,10/02/2016 14:48:23,24.1
186,10/02/2016 14:48:33,24.1
187,10/02/2016 14:48:43,24.2
188,10/02/2016 14:48:53,24.2
189,10/02/2016 14:49:03,24.2
190,10/02/2016 14:49:13,24.2
191,10/02/2016 14:49:23,24.3
192,10/02/2016 14:49:33,24.3
193,10/02/2016 14:49:43,24.4
194,10/02/2016 14:49:53,24.4
195,10/02/2016 14:50:03,24.4
196,10/02/2016 14:50:13,24.5
197,10/02/2016 14:50:23,24.5
198,10/02/2016 14:50:33,24.6
199,10/02/2016 14:50:43,24.6
200,10/02/2016 14:50:53,24.6
201,10/02/2016 14:51:03,24.7
202,10/02/2016 14:51:13,24.7
203,10/02/2016 14:51:23,24.6
204,10/02/2016 14:51:33,24.6
205,10/02/2016 14:51:43,24.7
206,10/02/2016 14:51:53,24.8
207,10/02/2016 14:52:03,24.8
208,10/02/2016 14:52:13,24.9
209,10/02/2016 14:52:23,24.9
210,10/02/2016 14:52:33,24.9
211,10/02/2016 14:52:43,24.9
212,10/02/2016 14:52:53,25
213,10/02/2016 14:53:03,25
214,10/02/2016 14:53:13,25.1
215,10/02/2016 14:53:23,25.1
216,10/02/2016 14:53:33,25.2
217,10/02/2016 14:53:43,25.2
218,10/02/2016 14:53:53,25.2
219,10/02/2016 14:54:03,25.2
220,10/02/2016 14:54:13,25.3
221,10/02/2016 14:54:23,25.3
222,10/02/2016 14:54:33,86
223,10/02/2016 14:54:43,71.3
224,10/02/2016 14:54:53,31.2
225,10/02/2016 14:55:03,26.5
226,10/02/2016 14:55:13,23.9
227,10/02/2016 14:55:23,23
228,10/02/2016 14:55:33,22.4
229,10/02/2016 14:55:43,22.2
230,10/02/2016 14:55:53,22.1
231,10/02/2016 14:56:03,22.1
232,10/02/2016 14:56:13,22.2
233,10/02/2016 14:56:23,22.2
234,10/02/2016 14:56:33,22.4
235,10/02/2016 14:56:43,22.6
236,10/02/2016 14:56:52,22.7
237,10/02/2016 14:57:02,22.8
238,10/02/2016 14:57:12,23
239,10/02/2016 14:57:22,23
240,10/02/2016 14:57:32,23.1
241,10/02/2016 14:57:42,23.2
242,10/02/2016 14:57:52,23.2
243,10/02/2016 14:58:02,23.2
244,10/02/2016 14:58:12,23.3
245,10/02/2016 14:58:22,23.3
246,10/02/2016 14:58:32,23.4
247,10/02/2016 14:58:42,23.5
248,10/02/2016 14:58:52,23.5
249,10/02/2016 14:59:02,23.5
250,10/02/2016 14:59:12,23.5
251,10/02/2016 14:59:22,23.5
252,10/02/2016 14:59:32,23.4
253,10/02/2016 14:59:42,23.4
254,10/02/2016 14:59:52,23.3
255,10/02/2016 15:00:02,23.4
256,10/02/2016 15:00:12,23.4
257,10/02/2016 15:00:22,23.4
258,10/02/2016 15:00:32,23.3
259,10/02/2016 15:00:42,23.3
260,10/02/2016 15:00:52,23.3
261,10/02/2016 15:01:02,23.3
262,10/02/2016 15:01:12,23.2
263,10/02/2016 15:01:22,23.2
264,10/02/2016 15:01:32,23.2
265,10/02/2016 15:01:42,23.2
266,10/02/2016 15:01:52,23.3
267,10/02/2016 15:02:02,23.5
268,10/02/2016 15:02:12,23.6
269,10/02/2016 15:02:22,23.7
270,10/02/2016 15:02:32,23.8
271,10/02/2016 15:02:42,23.7
272,10/02/2016 15:02:52,23.8
273,10/02/2016 15:03:02,23.8
274,10/02/2016 15:03:12,23.8
275,10/02/2016 15:03:22,23.9
276,10/02/2016 15:03:32,23.8
277,10/02/2016 15:03:42,23.9
278,10/02/2016 15:03:52,23.9
279,10/02/2016 15:04:02,23.9
280,10/02/2016 15:04:12,24
281,10/02/2016 15:04:22,23.9
282,10/02/2016 15:04:32,23.9
283,10/02/2016 15:04:42,23.9
284,10/02/2016 15:04:52,24
285,10/02/2016 15:05:02,24
286,10/02/2016 15:05:12,24
287,10/02/2016 15:05:22,24
288,10/02/2016 15:05:32,23.9
289,10/02/2016 15:05:42,23.9
290,10/02/2016 15:05:52,24
291,10/02/2016 15:06:02,24
292,10/02/2016 15:06:12,24
293,10/02/2016 15:06:22,24
294,10/02/2016 15:06:32,24
295,10/02/2016 15:06:42,24.1
296,10/02/2016 15:06:52,24.1
297,10/02/2016 15:07:02,24.1
298,10/02/2016 15:07:12,24
299,10/02/2016 15:07:22,24
300,10/02/2016 15:07:32,24
301,10/02/2016 15:07:42,24
302,10/02/2016 15:07:52,64
303,10/02/2016 15:08:02,65.3
304,10/02/2016 15:08:12,63.7
305,10/02/2016 15:08:22,41.9
306,10/02/2016 15:08:32,32.6
307,10/02/2016 15:08:42,29.4
308,10/02/2016 15:08:52,26.8
309,10/02/2016 15:09:02,25.8
310,10/02/2016 15:09:12,24.8
311,10/02/2016 15:09:22,24.3
312,10/02/2016 15:09:32,23.8
313,10/02/2016 15:09:42,23.5
314,10/02/2016 15:09:52,23.4
315,10/02/2016 15:10:02,23.3
316,10/02/2016 15:10:12,23.1
317,10/02/2016 15:10:22,23.1
318,10/02/2016 15:10:32,23.1
319,10/02/2016 15:10:42,23.1
320,10/02/2016 15:10:52,22.8
321,10/02/2016 15:11:02,86.1
322,10/02/2016 15:11:12,87.3
323,10/02/2016 15:11:22,36.8
324,10/02/2016 15:11:32,25.9
325,10/02/2016 15:11:42,24
326,10/02/2016 15:11:52,23.1
327,10/02/2016 15:12:02,22.9
328,10/02/2016 15:12:12,22.7
329,10/02/2016 15:12:22,22.6
330,10/02/2016 15:12:32,22.6
331,10/02/2016 15:12:42,22.5
332,10/02/2016 15:12:52,22.6
333,10/02/2016 15:13:02,22.6
334,10/02/2016 15:13:12,22.6
335,10/02/2016 15:13:22,22.6
336,10/02/2016 15:13:32,22.6
337,10/02/2016 15:13:42,22.7
338,10/02/2016 15:13:52,22.7
339,10/02/2016 15:14:02,22.7
340,10/02/2016 15:14:12,22.7
341,10/02/2016 15:14:22,22.6
342,10/02/2016 15:14:32,22.7
343,10/02/2016 15:14:42,22.8
344,10/02/2016 15:14:52,22.7
345,10/02/2016 15:15:02,22.7
346,10/02/2016 15:15:12,22.7
347,10/02/2016 15:15:22,22.7
348,10/02/2016 15:15:32,22.6
349,10/02/2016 15:15:42,22.5
350,10/02/2016 15:15:52,22.6
351,10/02/2016 15:16:02,22.6
352,10/02/2016 15:16:12,22.6
353,10/02/2016 15:16:22,22.7
354,10/02/2016 15:16:32,22.8
355,10/02/2016 15:16:42,22.9
356,10/02/2016 15:16:52,22.9
357,10/02/2016 15:17:02,22.9
358,10/02/2016 15:17:12,22.9
359,10/02/2016 15:17:22,22.9
360,10/02/2016 15:17:32,22.9
361,10/02/2016 15:17:42,22.9
362,10/02/2016 15:17:52,22.8
363,10/02/2016 15:18:02,22.8
364,10/02/2016 15:18:12,22.9
365,10/02/2016 15:18:22,22.8
366,10/02/2016 15:18:32,22.9
367,10/02/2016 15:18:42,22.9
368,10/02/2016 15:18:52,23
369,10/02/2016 15:19:02,23
370,10/02/2016 15:19:12,23.1
371,10/02/2016 15:19:22,23.1
372,10/02/2016 15:19:32,23.1
373,10/02/2016 15:19:42,23.1
374,10/02/2016 15:19:52,23.1
375,10/02/2016 15:20:02,23.2
376,10/02/2016 15:20:12,23.2
377,10/02/2016 15:20:22,23.2
378,10/02/2016 15:20:32,23.2
379,10/02/2016 15:20:42,23.3
380,10/02/2016 15:20:52,23.3
381,10/02/2016 15:21:02,23.3
382,10/02/2016 15:21:12,77.3
383,10/02/2016 15:21:22,82
384,10/02/2016 15:21:32,61.5
385,10/02/2016 15:21:42,37.4
386,10/02/2016 15:21:52,34.4
387,10/02/2016 15:22:02,33
388,10/02/2016 15:22:12,31.7
389,10/02/2016 15:22:22,30.7
390,10/02/2016 15:22:32,29.1
391,10/02/2016 15:22:42,28.7
392,10/02/2016 15:22:52,28.1
393,10/02/2016 15:23:02,27.9
394,10/02/2016 15:23:12,27.3
395,10/02/2016 15:23:22,27
396,10/02/2016 15:23:32,26.9
397,10/02/2016 15:23:42,26.5
398,10/02/2016 15:23:52,26.3
399,10/02/2016 15:24:02,26.4
400,10/02/2016 15:24:12,26.5
401,10/02/2016 15:24:22,26.3
402,10/02/2016 15:24:32,26.2
403,10/02/2016 15:24:42,26.3
404,10/02/2016 15:24:52,26.7
405,10/02/2016 15:25:02,26.7
406,10/02/2016 15:25:12,26.4
407,10/02/2016 15:25:22,26.4
408,10/02/2016 15:25:32,26.4
409,10/02/2016 15:25:42,26.3
410,10/02/2016 15:25:52,26
411,10/02/2016 15:26:02,25.8
412,10/02/2016 15:26:12,25.7
413,10/02/2016 15:26:22,25.8
414,10/02/2016 15:26:32,25.9
415,10/02/2016 15:26:42,26
416,10/02/2016 15:26:52,26
417,10/02/2016 15:27:02,26
418,10/02/2016 15:27:12,26
419,10/02/2016 15:27:22,26
420,10/02/2016 15:27:32,26.2
421,10/02/2016 15:27:42,26.2
422,10/02/2016 15:27:52,26.2
423,10/02/2016 15:28:02,26.3
424,10/02/2016 15:28:12,26.1
425,10/02/2016 15:28:22,25.9
426,10/02/2016 15:28:32,26.1
427,10/02/2016 15:28:42,26.1
428,10/02/2016 15:28:52,26
429,10/02/2016 15:29:02,25.9
430,10/02/2016 15:29:12,25.9
431,10/02/2016 15:29:22,25.8
432,10/02/2016 15:29:32,26
433,10/02/2016 15:29:42,26.1
434,10/02/2016 15:29:52,26
435,10/02/2016 15:30:02,26.2
436,10/02/2016 15:30:12,26
437,10/02/2016 15:30:22,25.9
438,10/02/2016 15:30:32,26.3
439,10/02/2016 15:30:42,26.3
440,10/02/2016 15:30:52,26.3
